clients designers contractors,9
heat island effect,9
buildingoperation monitoring commissioning,9
effectively lowcarbon initiatives,9
government agencies industries,9
real estate agencies,9
land infrastructure transport,9
achieving global sdgs,9
roads public squares,9
red stars specifically,8.6666666667
heat island load,8.6666666667
agencies private companies,8.5
longterm management plans,8.5
extremely resourceintensive process,8.5
school facilities built,8.5
regional revitaliation bureau,8.5
triple bottomline approach,8.5
global environment era,8.2727272727
building earthquake resistance,8.125
mediumsied building contractors,8.125
scalar indicator determined,8
long time span,8
makes assessments based,8
level preceding renovation,8
japanese promotion council,8
joint industrygovernmentacademia project,8
educational facilities casbee,7.914893617
casbee gradually expanded,7.914893617
casbee accredited professionals,7.914893617
sustainable building index,7.875
interior space covers,7.8333333333
green stars based,7.8333333333
major urban areas,7.8
released pilot version,7.7954545455
exposition pavilions buildings,7.7894736842
casbeeassessed buildings registered,7.7894736842
outdoor thermal environment,7.7727272727
lcco emission level,7.75
figure stratified structure,7.75
assessments remain valid,7.6666666667
construction english version,7.6287878788
renovating existing buildings,7.6228070175
existing buildings occurred,7.6228070175
detailed quantitative assessment,7.5952380952
respective regions casbee,7.5815602837
lowcarbon society casbee,7.414893617
satisfies energy standards,7.4
common metrics proposed,7.3333333333
scales construction housing,7.3333333333
support building maintenance,7.325
urban environment policy,7.2727272727
future urban development,7.25
primary target users,7.25
virtual space boundary,7.25
developing casbees clear,7.25
cities english version,7.224025974
cities pilot version,7.224025974
cities urban environment,7.2012987013
assessment system applied,7.1952380952
construction edition casbeebdnc,7.1333333333
building evaluating features,7.125
existing buildings based,7.1228070175
cityscale assessment applicable,7.0952380952
existing detached houses,7.0833333333
casbee assessment requires,7.0101317123
cities quantitatively evaluates,6.9285714286
perform effective casbee,6.914893617
assessment tools tailored,6.9077380952
assessment tools dealt,6.9077380952
energy saving renovation,6.9
comprehensive assessment system,6.8619047619
housing construction industry,6.8333333333
casbeeindd building construction,6.7916666667
respective assessment items,6.7619047619
comprehensive assessment cover,6.7619047619
casbeedh series casbeeap,6.75
casbee tools casbeedhnc,6.727393617
casbee tools connected,6.727393617
assessment system based,6.6952380952
examined collectively casbeeud,6.6666666667
load reduction performance,6.6666666667
environmental performance relative,6.6111111111
construction casbeeindd casbee,6.5815602837
existing bee assessment,6.5535714286
assessment results provided,6.4952380952
sustainable planning policies,6.4166666667
building environmental assessment,6.3313492064
worldwide casbee exhibits,6.314893617
world health organiation,6.3
design support tool,6.050877193
casbee assessment result,6.0101317123
assess primary schools,5.9
casbee tool system,5.6991041433
tool specifically developed,5.6236044657
english version,5.2954545455
pilot version,5.2954545455
outdoor space,5
energy saving,4.9
interior space,4.8333333333
environmental load,4.7777777778
environment society,4.7727272727
built environment,4.7727272727
comprehensive assessment,4.7619047619
virtual boundary,4.75
stratified structure,4.75
lcco based,4.75
specifically framed,4.6666666667
design process,4.6666666667
respective subgroup,4.6666666667
building industry,4.625
existing buildings,4.6228070175
emission assessment,4.5952380952
assessment target,4.5952380952
simple version,4.5454545455
latest version,4.5454545455
sustainable buildings,4.5394736842
triplebottomline approach,4.5
regional characteristics,4.5
detailed conditions,4.5
released recently,4.5
makes casbee,4.414893617
energy lr,4.4
save energy,4.4
design support,4.3666666667
lcco assessment,4.3452380952
green spaces,4.3333333333
construction stages,4.3333333333
common understanding,4.3333333333
temporary construction,4.3333333333
interior comfort,4.3333333333
building design,4.2916666667
private buildings,4.2894736842
environment practices,4.2727272727
indoor environment,4.2727272727
detached houses,4.25
simple structure,4.25
site boundary,4.25
clear indication,4.25
structure easy,4.25
environmental assessment,4.2063492064
administrative support,4.2
assessment system,4.1952380952
dfe design,4.1666666667
office building,4.125
apartment building,4.125
building concerned,4.125
building owners,4.125
building branding,4.125
reference building,4.125
building condition,4.125
future bee,4.125
green buildings,4.1228070175
environmental strategies,4.1111111111
environmental performance,4.1111111111
system started,4.1
compatible system,4.1
assessment items,4.0952380952
easy assessment,4.0952380952
assessment initially,4.0952380952
assessment casbeebdeb,4.0952380952
performance assessment,4.0952380952
casbee assessment,4.0101317123
carefully selected,4
international classification,4
intellectual productivity,4
housing unit,4
lcco emissions,4
fields ranging,4
originally intended,4
local authorities,4
weighting coefficients,4
research committee,4
significant characteristic,4
broad spectrum,4
earlier awaiting,4
specialied engineer,4
flexible response,4
current state,4
community residence,4
relevant policies,4
vaguely defined,4
simple comparable,4
cabinet secretariat,4
large enterprises,4
osaka casbeehi,4
junior high,4
concentrate largely,4
academics ranging,4
operational record,4
renovation work,4
answering questions,4
tourism mlit,4
water conservation,4
organied consistently,4
training lecture,4
citydistrict planners,4
functiondisabling factors,4
easytounderstand format,4
actual conditions,4
comprehensively evaluating,4
anticipated performance,4
local conditions,4
checklist conforms,4
criteria deal,4
specific performance,4
heavy toll,4
pclcc consists,4
previous studies,4
upgrade designs,4
local governments,4
party examines,4
simple addition,4
casbeeaps depending,4
encouraging factors,4
company occupies,4
incompatible vector,4
casbeeaps exceeds,4
grades superior,4
ql referred,4
market promotion,4
functioning disability,4
pursuing goals,4
scoring criteria,4
predicted performance,4
administrative officers,4
scenic aesthetics,4
casbeebd series,4
environment tool,3.956937799
cities measures,3.9285714286
cities recognied,3.9285714286
ecomodel cities,3.9285714286
spatial boundary,3.9166666667
clear definition,3.9166666667
values casbee,3.914893617
renovation casbee,3.914893617
neighborhood casbee,3.914893617
casbee family,3.914893617
casbee spreadsheet,3.914893617
introduction casbee,3.914893617
assessment tools,3.9077380952
common feature,3.8333333333
city management,3.8333333333
casbee casbee,3.829787234
tools specific,3.8125
local area,3.8
health icf,3.8
defined areas,3.8
health ranking,3.8
area surrounding,3.8
concept akin,3.8
unified concept,3.8
surrounding area,3.8
solid concept,3.8
casbeebdnc casbeebdeb,3.8
office buildings,3.7894736842
evaluated relative,3.7857142857
assessment tool,3.7794486216
environmental quality,3.7777777778
assessment categories,3.7619047619
casbeeap passing,3.75
